play_date,game_score
2025-05-13,40
2025-05-13,12
2025-05-13,0
2025-05-13,0
2025-05-13,2
2025-05-14,0
2025-05-14,34
2025-05-14,21
2025-05-14,0
2025-05-14,2
2025-05-14,0
2025-05-14,25
